explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_1.png,img/rec_fig/1.png,충북 보은군 장애인회관,2002,2015.619048,8,4,1565,4,0,176526140,0.104,0.100009821
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_2.png,img/rec_fig/2.png,경북 성주군청사,1995,2015.619048,11,11,9179.64,6,1,2360000000,0.765271699,0.765271482
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_3.png,img/rec_fig/3.png,강원 양구군청사,1984,2015.619048,11,16,3533,3,0,253417752,0.179,0.51790774
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_4.png,img/rec_fig/4.png,전남 영암군 군서면사무소,1991,2015.619048,11,9,762.9,2,0,28800000,0.463630184,0.463631969
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_5.png,img/rec_fig/5.png,전남 영암군 미암면사무소,1988,2015.619048,11,9,566,2,0,220000000,0.405686992,0.405680453
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_6.png,img/rec_fig/6.png,한국 폴리텍대학 창원캠퍼스,1981,2015.619048,7,12,3104,2,1,990000000,0.738033635,0.73803405
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_7.png,img/rec_fig/7.png,대전광역시청사,1999,2015.619048,11,13,87742,21,2,2759000000,0.22,0.219999839
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_8.png,img/rec_fig/8.png,세종시청 조치원청사 C동,1988,2015.619048,11,7,1647,3,1,302359500,0.2124,0.212399847
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_9.png,img/rec_fig/9.png,헌법재판소,1993,2015.619048,11,1,19270,5,1,11027000000,0.68,0.329
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_10.png,img/rec_fig/10.png,부산연제경찰서,1991,2015.619048,11,14,7357,4,1,1601000000,0.387,0.38699899
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_11.png,img/rec_fig/11.png,제주도 서귀포시 평생학습관,1998,2015.619048,11,17,1016,2,1,549000000,0.279,0.278999607
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_12.png,img/rec_fig/12.png,강릉 장애인직업재활시설 사랑의 일터,2003,2015.619048,8,16,630,2,1,487000000,0.384,0.383997205
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_13.png,img/rec_fig/13.png,정보통신기술진흥센터 청사,1995,2015.619048,11,6,19354,6,1,3288000000,0.598378926,0.598378938
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_14.png,img/rec_fig/14.png,전남 보성군 복내면사무소,1989,2015.619048,11,10,495,2,1,586000000,0.62477758,0.624778948
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_15.png,img/rec_fig/15.png,경기도 부천시 춘의동사무소,1985,2015.619048,11,2,731,3,1,321000000,0.592515593,0.592513066
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_16.png,img/rec_fig/16.png,한국연구재단 대전청사 본관,1990,2015.619048,11,6,5443,4,1,3954000000,0.4976,0.497600015
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_17.png,img/rec_fig/17.png,한국교통대학교 화학생명관,1985,2015.619048,7,4,7367,4,1,2947000000,0.739347122,0.739347461
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_18.png,img/rec_fig/18.png,강릉 입암3아파트 사회복지관,1994,2015.619048,11,16,1615.01,2,1,409000000,0.388,0.388007433
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_19.png,img/rec_fig/19.png,경기도 시흥시 ABC 행복학습타운,1988,2015.619048,7,2,17784,3,1,1303000000,0.561561562,0.561561537
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_20.png,img/rec_fig/20.png,대구 달서구청,1992,2015.619048,11,13,17898,8,1,2720000000,0.268,0.267999858
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_21.png,img/rec_fig/21.png,충청북도 자치연수원 공무원교육관,1996,2015.619048,11,4,9591,3,1,2168000000,0.678107607,0.678107523
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_22.png,img/rec_fig/22.png,충주 성내동우체국,1977,2015.619048,11,4,2863,3,1,1927000000,0.71,0.710000198
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_23.png,img/rec_fig/23.png,구) 남원역사,1986,2015.619048,11,8,761,1,0,440000000,0.583,0.582997086
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_24.png,img/rec_fig/24.png,전남 광양시 의회청사,1993,2015.619048,11,9,6895,5,1,1396000000,0.686356948,0.68635723
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_25.png,img/rec_fig/25.png,충북 음성군청 본청사,1995,2015.619048,11,4,8684,6,1,4319000000,0.603055556,0.603055693
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_26.png,img/rec_fig/26.png,진주 평거2주공아파트,1991,2015.619048,2,12,22036,6,1,3172000000,0.481828839,0.481829229
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_27.png,img/rec_fig/27.png,충북 중앙경찰학교 1강의동,1987,2015.619048,7,4,8732,4,1,4892000000,0.279,0.279000151
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_28.png,img/rec_fig/28.png,과천시민회관,1995,2015.619048,11,2,41056,4,3,1167000000,0.508035773,0.508035772
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_29.png,img/rec_fig/29.png,경북 구미시청 본관,1979,2015.619048,11,11,8360,5,1,6074000000,0.4378,0.43780044
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_30.png,img/rec_fig/30.png,부산 금정구청,1991,2015.619048,11,14,14464,8,2,6891000000,0.6084,0.608400015
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_31.png,img/rec_fig/31.png,경남 하동군청사,1992,2015.619048,11,12,5330,3,1,144100000,0.4979,0.497900184
